gene	type
DUSP11 	HK
DUSP14 	HK
DUSP16 	HK
DUSP22 	HK
DUT 	HK
DVL3 	HK
DYM 	HK
DYNC1LI1 	HK
DYNLL2 	HK
DYNLRB1 	HK
DYNLT1 	HK
E2F4 	HK
E4F1 	HK
EAF1 	HK
EAPP 	HK
EARS2 	HK
EBAG9 	HK
EBNA1BP2 	HK
ECD 	HK
ECH1 	HK
ECHDC1 	HK
ECHS1 	HK
ECI1 	HK
ECI2 	HK
ECSIT 	HK
EDC3 	HK
EDC4 	HK
EDEM3 	HK
EDF1 	HK
EED 	HK
EEF1B2 	HK
EEF1E1 	HK
EEF2 	HK
EEFSEC 	HK
EFCAB14 	HK
EFHA1 	HK
EFR3A 	HK
EFTUD1 	HK
EFTUD2 	HK
EGLN2 	HK
EHMT1 	HK
EI24 	HK
EID2 	HK
EIF1 	HK
EIF1AD 	HK
EIF1B 	HK
EIF2A 	HK
EIF2AK1 	HK
EIF2AK3 	HK
EIF2AK4 	HK
EIF2B2 	HK
EIF2B3 	HK
EIF2B4 	HK
EIF2B5 	HK
EIF2D 	HK
EIF2S1 	HK
EIF2S2 	HK
EIF3A 	HK
EIF3B 	HK
EIF3D 	HK
EIF3E 	HK
EIF3G 	HK
EIF3H 	HK
EIF3I 	HK
EIF3J 	HK
EIF3K 	HK
EIF3L 	HK
EIF3M 	HK
EIF4A1 	HK
EIF4A3 	HK
EIF4E2 	HK
EIF4G1 	HK
EIF4G2 	HK
EIF4G3 	HK
EIF4H 	HK
EIF5 	HK
EIF5A 	HK
EIF5AL1 	HK
EIF5B 	HK
EIF6 	HK
ELAC2 	HK
ELAVL1 	HK
ELF2 	HK
ELK1 	HK
ELK4 	HK
ELL2 	HK
ELMOD3 	HK
ELOVL1 	HK
ELP2 	HK
ELP3 	HK
ELP4 	HK
ELP6 	HK
EMC1 	HK
EMC10 	HK
EMC2 	HK
EMC3 	HK
EMC4 	HK
EMC6 	HK
EMC7 	HK
EMC8 	HK
EMC9 	HK
EMD 	HK
EMG1 	HK
ENDOG 	HK
ENOPH1 	HK
ENSA 	HK
ENTPD4 	HK
ENTPD6 	HK
ENY2 	HK
EPC1 	HK
EPM2AIP1 	HK
EPN1 	HK
EPRS 	HK
ERAL1 	HK
ERAP1 	HK
ERCC1 	HK
ERCC2 	HK
ERCC3 	HK
ERCC5 	HK
ERGIC2 	HK
ERGIC3 	HK
ERH 	HK
ERI3 	HK
ERICH1 	HK
ERLEC1 	HK
ERO1L 	HK
ERP44 	HK
ESD 	HK
ESF1 	HK
ETF1 	HK
ETFA 	HK
ETFB 	HK
ETV6 	HK
EWSR1 	HK
EXD2 	HK
EXOC1 	HK
EXOC2 	HK
EXOC3 	HK
EXOC4 	HK
EXOC7 	HK
EXOC8 	HK
EXOSC1 	HK
EXOSC10 	HK
EXOSC2 	HK
EXOSC4 	HK
EXOSC7 	HK
EXOSC8 	HK
EXT2 	HK
EXTL3 	HK
FADD 	HK
FAF1 	HK
FAF2 	HK
FAHD1 	HK
FAM104B 	HK
FAM108A1 	HK
FAM108B1 	HK
FAM114A2 	HK
FAM118B 	HK
FAM120A 	HK
FAM120AOS 	HK
FAM120B 	HK
FAM122A 	HK
FAM127B 	HK
FAM134A 	HK
FAM134C 	HK
FAM136A 	HK
FAM149B1 	HK
FAM160A2 	HK
FAM160B1 	HK
FAM160B2 	HK
FAM162A 	HK
FAM168B 	HK
FAM173A 	HK
FAM173B 	HK
FAM174A 	HK
FAM175B 	HK
FAM177A1 	HK
FAM178A 	HK
FAM192A 	HK
FAM199X 	HK
FAM200A 	HK
FAM204A 	HK
FAM206A 	HK
FAM208B 	HK
FAM20B 	HK
FAM210B 	HK
FAM32A 	HK
FAM35A 	HK
FAM3A 	HK
FAM50A 	HK
FAM50B 	HK
FAM58A 	HK
FAM63A 	HK
FAM73B 	HK
FAM8A1 	HK
FAM96A 	HK
FAM96B 	HK
FAM98A 	HK
FARS2 	HK
FARSA 	HK
FARSB 	HK
FASTK 	HK
FASTKD2 	HK
FASTKD5 	HK
FBRSL1 	HK
FBXL15 	HK
FBXL17 	HK
FBXL3 	HK
FBXL4 	HK
FBXL5 	HK
FBXL6 	HK
FBXO11 	HK
FBXO18 	HK
FBXO22 	HK
FBXO28 	HK
FBXO3 	HK
FBXO38 	HK
FBXO42 	HK
FBXO45 	HK
FBXO6 	HK
FBXO7 	HK
FBXW11 	HK
FBXW2 	HK
FBXW4 	HK
FBXW5 	HK
FBXW7 	HK
FCF1 	HK
FDFT1 	HK
FDPS 	HK
FDX1 	HK
FECH 	HK
FEM1C 	HK
FEN1 	HK
FEZ2 	HK
FGFR1OP2 	HK
FH 	HK
FIBP 	HK
FICD 	HK
FIP1L1 	HK
FIS1 	HK
FIZ1 	HK
FKBP3 	HK
FKBP8 	HK
FKBPL 	HK
FKRP 	HK
FLAD1 	HK
FLCN 	HK
FLOT1 	HK
FLOT2 	HK
FNDC3A 	HK
FNTA 	HK
FNTB 	HK
FOPNL 	HK
FOXK2 	HK
FOXP4 	HK
FOXRED1 	HK
